,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,total_bill,tip,sex,smoker,day,time,size
35,0,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False,24.06,3.6,Male,No,Sat,Dinner,3.0
36,1,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True,16.31,2.0,Male,No,Sat,Dinner,3.0
37,0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,16.93,3.07,Female,No,Sat,Dinner,3.0
38,0,3,female,18.0,2,0,18.0,S,Third,woman,False,,Southampton,no,False,18.69,2.31,Male,No,Sat,Dinner,3.0
39,1,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,31.27,5.0,Male,No,Sat,Dinner,3.0
40,0,3,female,40.0,1,0,9.475,S,Third,woman,False,,Southampton,no,False,16.04,2.24,Male,No,Sat,Dinner,3.0
41,0,2,female,27.0,1,0,21.0,S,Second,woman,False,,Southampton,no,False,17.46,2.54,Male,No,Sun,Dinner,2.0
42,0,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,13.94,3.06,Male,No,Sun,Dinner,2.0
43,1,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False,9.68,1.32,Male,No,Sun,Dinner,2.0
44,1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True,30.4,5.6,Male,No,Sun,Dinner,4.0
45,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,18.29,3.0,Male,No,Sun,Dinner,2.0
46,0,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False,22.23,5.0,Male,No,Sun,Dinner,2.0
47,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,32.4,6.0,Male,No,Sun,Dinner,4.0
48,0,3,male,,2,0,21.6792,C,Third,man,True,,Cherbourg,no,False,28.55,2.05,Male,No,Sun,Dinner,3.0
49,0,3,female,18.0,1,0,17.8,S,Third,woman,False,,Southampton,no,False,18.04,3.0,Male,No,Sun,Dinner,2.0
50,0,3,male,7.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,12.54,2.5,Male,No,Sun,Dinner,2.0
51,0,3,male,21.0,0,0,7.8,S,Third,man,True,,Southampton,no,True,10.29,2.6,Female,No,Sun,Dinner,2.0
52,1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,34.81,5.2,Female,No,Sun,Dinner,4.0
53,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,9.94,1.56,Male,No,Sun,Dinner,2.0
54,0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,25.56,4.34,Male,No,Sun,Dinner,4.0
55,1,1,male,,0,0,35.5,S,First,man,True,C,Southampton,yes,True,19.49,3.51,Male,No,Sun,Dinner,2.0
56,1,2,female,21.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,38.01,3.0,Male,Yes,Sat,Dinner,4.0
57,0,3,male,28.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,26.41,1.5,Female,No,Sat,Dinner,2.0
58,1,2,female,5.0,1,2,27.75,S,Second,child,False,,Southampton,yes,False,11.24,1.76,Male,Yes,Sat,Dinner,2.0
59,0,3,male,11.0,5,2,46.9,S,Third,child,False,,Southampton,no,False,48.27,6.73,Male,No,Sat,Dinner,4.0
60,0,3,male,22.0,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True,20.29,3.21,Male,Yes,Sat,Dinner,2.0
61,1,1,female,38.0,0,0,80.0,,First,woman,False,B,,yes,True,13.81,2.0,Male,Yes,Sat,Dinner,2.0
62,0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,11.02,1.98,Male,Yes,Sat,Dinner,2.0
63,0,3,male,4.0,3,2,27.9,S,Third,child,False,,Southampton,no,False,18.29,3.76,Male,Yes,Sat,Dinner,4.0
64,0,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True,17.59,2.64,Male,No,Sat,Dinner,3.0
65,1,3,male,,1,1,15.2458,C,Third,man,True,,Cherbourg,yes,False,20.08,3.15,Male,No,Sat,Dinner,3.0
66,1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,16.45,2.47,Female,No,Sat,Dinner,2.0
67,0,3,male,19.0,0,0,8.1583,S,Third,man,True,,Southampton,no,True,3.07,1.0,Female,Yes,Sat,Dinner,1.0
68,1,3,female,17.0,4,2,7.925,S,Third,woman,False,,Southampton,yes,False,20.23,2.01,Male,No,Sat,Dinner,2.0
69,0,3,male,26.0,2,0,8.6625,S,Third,man,True,,Southampton,no,False,15.01,2.09,Male,Yes,Sat,Dinner,2.0
70,0,2,male,32.0,0,0,10.5,S,Second,man,True,,Southampton,no,True,12.02,1.97,Male,No,Sat,Dinner,2.0
71,0,3,female,16.0,5,2,46.9,S,Third,woman,False,,Southampton,no,False,17.07,3.0,Female,No,Sat,Dinner,3.0
72,0,2,male,21.0,0,0,73.5,S,Second,man,True,,Southampton,no,True,26.86,3.14,Female,Yes,Sat,Dinner,2.0
73,0,3,male,26.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False,25.28,5.0,Female,Yes,Sat,Dinner,2.0
74,1,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True,14.73,2.2,Female,No,Sat,Dinner,2.0
75,0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,10.51,1.25,Male,No,Sat,Dinner,2.0
76,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,17.92,3.08,Male,Yes,Sat,Dinner,2.0
77,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,27.2,4.0,Male,No,Thur,Lunch,4.0
78,1,2,male,0.83,0,2,29.0,S,Second,child,False,,Southampton,yes,False,22.76,3.0,Male,No,Thur,Lunch,2.0
79,1,3,female,30.0,0,0,12.475,S,Third,woman,False,,Southampton,yes,True,17.29,2.71,Male,No,Thur,Lunch,2.0
80,0,3,male,22.0,0,0,9.0,S,Third,man,True,,Southampton,no,True,19.44,3.0,Male,Yes,Thur,Lunch,2.0
81,1,3,male,29.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True,16.66,3.4,Male,No,Thur,Lunch,2.0
82,1,3,female,,0,0,7.7875,Q,Third,woman,False,,Queenstown,yes,True,10.07,1.83,Female,No,Thur,Lunch,1.0
83,0,1,male,28.0,0,0,47.1,S,First,man,True,,Southampton,no,True,32.68,5.0,Male,Yes,Thur,Lunch,2.0
84,1,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True,15.98,2.03,Male,No,Thur,Lunch,2.0
85,1,3,female,33.0,3,0,15.85,S,Third,woman,False,,Southampton,yes,False,34.83,5.17,Female,No,Thur,Lunch,4.0
86,0,3,male,16.0,1,3,34.375,S,Third,man,True,,Southampton,no,False,13.03,2.0,Male,No,Thur,Lunch,2.0
87,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,18.28,4.0,Male,No,Thur,Lunch,2.0
88,1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,24.71,5.85,Male,No,Thur,Lunch,2.0
89,0,3,male,24.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,21.16,3.0,Male,No,Thur,Lunch,2.0
90,0,3,male,29.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,28.97,3.0,Male,Yes,Fri,Dinner,2.0
91,0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True,22.49,3.5,Male,No,Fri,Dinner,2.0
92,0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,5.75,1.0,Female,Yes,Fri,Dinner,2.0
93,0,3,male,26.0,1,2,20.575,S,Third,man,True,,Southampton,no,False,16.32,4.3,Female,Yes,Fri,Dinner,2.0
94,0,3,male,59.0,0,0,7.25,S,Third,man,True,,Southampton,no,True,22.75,3.25,Female,No,Fri,Dinner,2.0
95,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,40.17,4.73,Male,Yes,Fri,Dinner,4.0
96,0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,27.28,4.0,Male,Yes,Fri,Dinner,2.0
97,1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,12.03,1.5,Male,Yes,Fri,Dinner,2.0
98,1,2,female,34.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False,21.01,3.0,Male,Yes,Fri,Dinner,2.0
99,0,2,male,34.0,1,0,26.0,S,Second,man,True,,Southampton,no,False,12.46,1.5,Male,No,Fri,Dinner,2.0
100,0,3,female,28.0,0,0,7.8958,S,Third,woman,False,,Southampton,no,True,11.35,2.5,Female,Yes,Fri,Dinner,2.0
101,0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True,15.38,3.0,Female,Yes,Fri,Dinner,2.0
102,0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,44.3,2.5,Female,Yes,Sat,Dinner,3.0
103,0,3,male,33.0,0,0,8.6542,S,Third,man,True,,Southampton,no,True,22.42,3.48,Female,Yes,Sat,Dinner,2.0
104,0,3,male,37.0,2,0,7.925,S,Third,man,True,,Southampton,no,False,20.92,4.08,Female,No,Sat,Dinner,2.0
105,0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,15.36,1.64,Male,Yes,Sat,Dinner,2.0
106,1,3,female,21.0,0,0,7.65,S,Third,woman,False,,Southampton,yes,True,20.49,4.06,Male,Yes,Sat,Dinner,2.0
107,1,3,male,,0,0,7.775,S,Third,man,True,,Southampton,yes,True,25.21,4.29,Male,Yes,Sat,Dinner,2.0
108,0,3,male,38.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,18.24,3.76,Male,No,Sat,Dinner,2.0
109,1,3,female,,1,0,24.15,Q,Third,woman,False,,Queenstown,yes,False,14.31,4.0,Female,Yes,Sat,Dinner,2.0
110,0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,14.0,3.0,Male,No,Sat,Dinner,2.0
111,0,3,female,14.5,1,0,14.4542,C,Third,child,False,,Cherbourg,no,False,7.25,1.0,Female,No,Sat,Dinner,1.0
112,0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,38.07,4.0,Male,No,Sun,Dinner,3.0
113,0,3,female,20.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False,23.95,2.55,Male,No,Sun,Dinner,2.0
114,0,3,female,17.0,0,0,14.4583,C,Third,woman,False,,Cherbourg,no,True,25.71,4.0,Female,No,Sun,Dinner,3.0
115,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,17.31,3.5,Female,No,Sun,Dinner,2.0
116,0,3,male,70.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,29.93,5.07,Male,No,Sun,Dinner,4.0
117,0,2,male,29.0,1,0,21.0,S,Second,man,True,,Southampton,no,False,10.65,1.5,Female,No,Thur,Lunch,2.0
118,0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,12.43,1.8,Female,No,Thur,Lunch,2.0
119,0,3,female,2.0,4,2,31.275,S,Third,child,False,,Southampton,no,False,24.08,2.92,Female,No,Thur,Lunch,4.0
120,0,2,male,21.0,2,0,73.5,S,Second,man,True,,Southampton,no,False,11.69,2.31,Male,No,Thur,Lunch,2.0
121,0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True,13.42,1.68,Female,No,Thur,Lunch,2.0
122,0,2,male,32.5,1,0,30.0708,C,Second,man,True,,Cherbourg,no,False,14.26,2.5,Male,No,Thur,Lunch,2.0
123,1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,15.95,2.0,Male,No,Thur,Lunch,2.0
124,0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,12.48,2.52,Female,No,Thur,Lunch,2.0
125,1,3,male,12.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False,29.8,4.2,Female,No,Thur,Lunch,6.0
126,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,8.52,1.48,Male,No,Thur,Lunch,2.0
127,1,3,male,24.0,0,0,7.1417,S,Third,man,True,,Southampton,yes,True,14.52,2.0,Female,No,Thur,Lunch,2.0
128,1,3,female,,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,11.38,2.0,Female,No,Thur,Lunch,2.0
129,0,3,male,45.0,0,0,6.975,S,Third,man,True,,Southampton,no,True,22.82,2.18,Male,No,Thur,Lunch,3.0
130,0,3,male,33.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True,19.08,1.5,Male,No,Thur,Lunch,2.0
131,0,3,male,20.0,0,0,7.05,S,Third,man,True,,Southampton,no,True,20.27,2.83,Female,No,Thur,Lunch,2.0
132,0,3,female,47.0,1,0,14.5,S,Third,woman,False,,Southampton,no,False,11.17,1.5,Female,No,Thur,Lunch,2.0
133,1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False,12.26,2.0,Female,No,Thur,Lunch,2.0
134,0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,18.26,3.25,Female,No,Thur,Lunch,2.0
135,0,2,male,23.0,0,0,15.0458,C,Second,man,True,,Cherbourg,no,True,8.51,1.25,Female,No,Thur,Lunch,2.0
136,1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,10.33,2.0,Female,No,Thur,Lunch,2.0
137,0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False,14.15,2.0,Female,No,Thur,Lunch,2.0
138,0,3,male,16.0,0,0,9.2167,S,Third,man,True,,Southampton,no,True,16.0,2.0,Male,Yes,Thur,Lunch,2.0
139,0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,13.16,2.75,Female,No,Thur,Lunch,2.0
140,0,3,female,,0,2,15.2458,C,Third,woman,False,,Cherbourg,no,False,17.47,3.5,Female,No,Thur,Lunch,2.0
141,1,3,female,22.0,0,0,7.75,S,Third,woman,False,,Southampton,yes,True,34.3,6.7,Male,No,Thur,Lunch,6.0
142,1,3,female,24.0,1,0,15.85,S,Third,woman,False,,Southampton,yes,False,41.19,5.0,Male,No,Thur,Lunch,5.0
143,0,3,male,19.0,0,0,6.75,Q,Third,man,True,,Queenstown,no,True,27.05,5.0,Female,No,Thur,Lunch,6.0
144,0,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True,16.43,2.3,Female,No,Thur,Lunch,2.0
145,0,2,male,19.0,1,1,36.75,S,Second,man,True,,Southampton,no,False,8.35,1.5,Female,No,Thur,Lunch,2.0
146,1,3,male,27.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True,18.64,1.36,Female,No,Thur,Lunch,3.0
147,0,3,female,9.0,2,2,34.375,S,Third,child,False,,Southampton,no,False,11.87,1.63,Female,No,Thur,Lunch,2.0
148,0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False,9.78,1.73,Male,No,Thur,Lunch,2.0
149,0,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,7.51,2.0,Male,No,Thur,Lunch,2.0
150,0,2,male,51.0,0,0,12.525,S,Second,man,True,,Southampton,no,True,14.07,2.5,Male,No,Sun,Dinner,2.0
151,1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,13.13,2.0,Male,No,Sun,Dinner,2.0
152,0,3,male,55.5,0,0,8.05,S,Third,man,True,,Southampton,no,True,17.26,2.74,Male,No,Sun,Dinner,3.0
153,0,3,male,40.5,0,2,14.5,S,Third,man,True,,Southampton,no,False,24.55,2.0,Male,No,Sun,Dinner,4.0
154,0,3,male,,0,0,7.3125,S,Third,man,True,,Southampton,no,True,19.77,2.0,Male,No,Sun,Dinner,4.0
155,0,1,male,51.0,0,1,61.3792,C,First,man,True,,Cherbourg,no,False,29.85,5.14,Female,No,Sun,Dinner,5.0
156,1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,,Queenstown,yes,True,48.17,5.0,Male,No,Sun,Dinner,6.0
157,0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True,25.0,3.75,Female,No,Sun,Dinner,4.0
158,0,3,male,,0,0,8.6625,S,Third,man,True,,Southampton,no,True,13.39,2.61,Female,No,Sun,Dinner,2.0
159,0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False,16.49,2.0,Male,No,Sun,Dinner,4.0
160,0,3,male,44.0,0,1,16.1,S,Third,man,True,,Southampton,no,False,21.5,3.5,Male,No,Sun,Dinner,4.0
161,1,2,female,40.0,0,0,15.75,S,Second,woman,False,,Southampton,yes,True,12.66,2.5,Male,No,Sun,Dinner,2.0
162,0,3,male,26.0,0,0,7.775,S,Third,man,True,,Southampton,no,True,16.21,2.0,Female,No,Sun,Dinner,3.0
163,0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True,13.81,2.0,Male,No,Sun,Dinner,2.0
164,0,3,male,1.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False,17.51,3.0,Female,Yes,Sun,Dinner,2.0
165,1,3,male,9.0,0,2,20.525,S,Third,child,False,,Southampton,yes,False,24.52,3.48,Male,No,Sun,Dinner,3.0
166,1,1,female,,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,20.76,2.24,Male,No,Sun,Dinner,2.0
167,0,3,female,45.0,1,4,27.9,S,Third,woman,False,,Southampton,no,False,31.71,4.5,Male,No,Sun,Dinner,4.0
168,0,1,male,,0,0,25.925,S,First,man,True,,Southampton,no,True,10.59,1.61,Female,Yes,Sat,Dinner,2.0
169,0,3,male,28.0,0,0,56.4958,S,Third,man,True,,Southampton,no,True,10.63,2.0,Female,Yes,Sat,Dinner,2.0
170,0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True,50.81,10.0,Male,Yes,Sat,Dinner,3.0
171,0,3,male,4.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False,15.81,3.16,Male,Yes,Sat,Dinner,2.0
172,1,3,female,1.0,1,1,11.1333,S,Third,child,False,,Southampton,yes,False,7.25,5.15,Male,Yes,Sun,Dinner,2.0
173,0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True,31.85,3.18,Male,Yes,Sun,Dinner,2.0
174,0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True,16.82,4.0,Male,Yes,Sun,Dinner,2.0
175,0,3,male,18.0,1,1,7.8542,S,Third,man,True,,Southampton,no,False,32.9,3.11,Male,Yes,Sun,Dinner,2.0
176,0,3,male,,3,1,25.4667,S,Third,man,True,,Southampton,no,False,17.89,2.0,Male,Yes,Sun,Dinner,2.0
177,0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,14.48,2.0,Male,Yes,Sun,Dinner,2.0
178,0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,9.6,4.0,Female,Yes,Sun,Dinner,2.0
179,0,3,male,36.0,0,0,0.0,S,Third,man,True,,Southampton,no,True,34.63,3.55,Male,Yes,Sun,Dinner,2.0
180,0,3,female,,8,2,69.55,S,Third,woman,False,,Southampton,no,False,34.65,3.68,Male,Yes,Sun,Dinner,4.0
181,0,2,male,,0,0,15.05,C,Second,man,True,,Cherbourg,no,True,23.33,5.65,Male,Yes,Sun,Dinner,2.0
182,0,3,male,9.0,4,2,31.3875,S,Third,child,False,,Southampton,no,False,45.35,3.5,Male,Yes,Sun,Dinner,3.0
183,1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,23.17,6.5,Male,Yes,Sun,Dinner,4.0
184,1,3,female,4.0,0,2,22.025,S,Third,child,False,,Southampton,yes,False,40.55,3.0,Male,Yes,Sun,Dinner,2.0
185,0,1,male,,0,0,50.0,S,First,man,True,A,Southampton,no,True,20.69,5.0,Male,No,Sun,Dinner,5.0
186,1,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False,20.9,3.5,Female,Yes,Sun,Dinner,3.0
187,1,1,male,45.0,0,0,26.55,S,First,man,True,,Southampton,yes,True,30.46,2.0,Male,Yes,Sun,Dinner,5.0
188,0,3,male,40.0,1,1,15.5,Q,Third,man,True,,Queenstown,no,False,18.15,3.5,Female,Yes,Sun,Dinner,3.0
189,0,3,male,36.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True,23.1,4.0,Male,Yes,Sun,Dinner,3.0
190,1,2,female,32.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True,15.69,1.5,Male,Yes,Sun,Dinner,2.0
191,0,2,male,19.0,0,0,13.0,S,Second,man,True,,Southampton,no,True,19.81,4.19,Female,Yes,Thur,Lunch,2.0
192,1,3,female,19.0,1,0,7.8542,S,Third,woman,False,,Southampton,yes,False,28.44,2.56,Male,Yes,Thur,Lunch,2.0
193,1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,15.48,2.02,Male,Yes,Thur,Lunch,2.0
194,1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True,16.58,4.0,Male,Yes,Thur,Lunch,2.0
195,1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True,7.56,1.44,Male,No,Thur,Lunch,2.0
196,0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True,10.34,2.0,Male,Yes,Thur,Lunch,2.0
197,0,3,male,42.0,0,1,8.4042,S,Third,man,True,,Southampton,no,False,43.11,5.0,Female,Yes,Thur,Lunch,4.0
198,1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True,13.0,2.0,Female,Yes,Thur,Lunch,2.0
199,0,2,female,24.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True,13.51,2.0,Male,Yes,Thur,Lunch,2.0
200,0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True,18.71,4.0,Male,Yes,Thur,Lunch,3.0
201,0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False,12.74,2.01,Female,Yes,Thur,Lunch,2.0
202,0,3,male,34.0,0,0,6.4958,S,Third,man,True,,Southampton,no,True,13.0,2.0,Female,Yes,Thur,Lunch,2.0
203,0,3,male,45.5,0,0,7.225,C,Third,man,True,,Cherbourg,no,True,16.4,2.5,Female,Yes,Thur,Lunch,2.0
204,1,3,male,18.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True,20.53,4.0,Male,Yes,Thur,Lunch,4.0
205,0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False,16.47,3.23,Female,Yes,Thur,Lunch,3.0
206,0,3,male,32.0,1,0,15.85,S,Third,man,True,,Southampton,no,False,26.59,3.41,Male,Yes,Sat,Dinner,3.0
207,1,3,male,26.0,0,0,18.7875,C,Third,man,True,,Cherbourg,yes,True,38.73,3.0,Male,Yes,Sat,Dinner,4.0
